G1	G20	-
G1	G21	-
G1	G31	-
G1	G37	-
G1	G8	-
G1	G10	-
G1	G17	+
G2	G12	-
G2	G21	-
G2	G29	-
G2	G1	+
G2	G3	+
G2	G4	+
G2	G48	+
G2	G10	+
G11	G4	+
G11	G32	+
G12	G25	-
G12	G43	-
G13	G1	+
G13	G4	+
G14	G7	-
G14	G41	+
G15	G6	+
G16	G27	-
G16	G23	+
G16	G5	+
G17	G1	+
G18	G4	-
G18	G2	+
G18	G38	+
G19	G4	-
G19	G36	-
G19	G6	-
G20	G1	+
G3	G1	-
G3	G43	-
G3	G45	-
G3	G5	+
G23	G9	-
G23	G33	+
G24	G23	-
G25	G10	-
G27	G30	+
G27	G4	+
G28	G1	+
G28	G15	+
G29	G1	+
G29	G38	+
G30	G8	-
G4	G1	-
G4	G49	+
G31	G1	-
G33	G7	+
G34	G2	-
G34	G12	+
G35	G25	-
G35	G3	+
G35	G41	+
G36	G1	-
G37	G2	-
G39	G6	-
G40	G13	-
G5	G3	-
G5	G7	-
G5	G15	+
G5	G22	+
G5	G42	+
G42	G3	+
G44	G1	+
G44	G36	+
G45	G2	-
G45	G50	+
G46	G1	+
G46	G24	+
G47	G33	-
G47	G29	+
G48	G6	-
G49	G1	+
G6	G12	-
G6	G14	-
G6	G26	-
G6	G7	-
G6	G8	-
G6	G1	+
G6	G11	+
G6	G16	+
G6	G3	+
G6	G32	+
G6	G39	+
G6	G40	+
G7	G22	+
G7	G50	+
G8	G26	+
G9	G1	-
G9	G2	+
G10	G24	-
